country,description,duration,genre,language,public,score,title,top_cast,url,year
United States,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,"Comedy,Drama",English,TV-MA,8.5,Shameless,"Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,Shanola Hampton,Steve Howey,Emma Kenney,Cameron Monaghan,Michael Patrick McGill,Jim Hoffmaster,Noel Fisher,Isidora Goreshter,Christian Isaiah,Brenden Sims,Joan Cusack,Justin Chatwin,Scott Michael Campbell,Kate Miner",https://www.imdb.com//title/tt1586680/?ref_=chttvtp_t_217,2011–2021
Japan,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,24,"Animation,Action,Drama",English,TV-MA,8.5,Neon Genesis Evangelion,"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,Allison Keith-Shipp,Sue Ulu,Amanda Winn Lee,Tristan MacAvery,Tiffany Grant,Guil Lunde,Matt Greenfield,Kendra Benham,Jason Lee,Casey Mongillo,Carrie Keranen,Erica Lindbeck,Ryan Bartley,Pedro de Aguillón",https://www.imdb.com//title/tt0112159/?ref_=chttvtp_t_215,1995–1996
United States,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,"Crime,Drama,Thriller",English,TV-MA,8.6,Sons of Anarchy,"Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,Tommy Flanagan,Theo Rossi,Dayton Callie,Maggie Siff,Ron Perlman,David Labrava,Ryan Hurst,William Lucking,Michael Ornstein,Winter Ave Zoli,Jimmy Smits,Niko Nicotera,Chris Reed,Drea de Matteo",https://www.imdb.com//title/tt1124373/?ref_=chttvtp_t_214,2008–2014
United Kingdom,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,0,"Comedy,Drama",English,TV-MA,8.5,The Office,"Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,Ewen MacIntosh,Ben Bradshaw,Jamie Deeks,Jane Lucas,Emma Manton,Alexander Perkins,Philip Pickard,Joel Beckett,Patrick Baladi,Julie Fernandez,Rachel Isaac,Howard Saddler,Ralph Ineson,Stirling Gallacher",https://www.imdb.com//title/tt0290978/?ref_=chttvtp_t_212,2001–2003
United States,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ...",60,Documentary,English,TV-PG,8.6,Through the Wormhole,"Morgan Freeman,Sean Carroll,Michio Kaku,Kip Thorne,Carlos Frenk,Max Tegmark,Paul Davies,Lee Smolin,Janna Levin,Frank Tipler,Frank Close,Paul Steinhardt,Michael Persinger,Andy Albrecht,Will Wright,David Spergel,Alan Guth,Steve Nahn",https://www.imdb.com//title/tt1513168/?ref_=chttvtp_t_213,2010–2017
United Kingdom,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,0,"Crime,Drama,Thriller",English,TV-MA,8.5,Happy Valley,"Sarah Lancashire,Siobhan Finneran,James Norton,Rhys Connah,Charlie Murphy,Shane Zaza,Ishia Bennison,Rick Warden,George Costigan,Karl Davies,Derek Riddell,Con O'Neill,Mete Dursun,Vincent Franklin,Chord Melodic,Susan Lynch,Jill Baker,Mark Stanley",https://www.imdb.com//title/tt3428912/?ref_=chttvtp_t_210,2014–2023
United States,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,0,"Crime,Drama,Horror",English,TV-MA,8.5,Twin Peaks,"Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,Miguel Ferrer,David Lynch,Robert Forster,Kimmy Robertson,Naomi Watts,Laura Dern,Pierce Gagnon,Harry Goaz,Al Strobel,John Pirruccello,Don Murray,Mädchen Amick,Dana Ashbrook,Brent Briscoe",https://www.imdb.com//title/tt4093826/?ref_=chttvtp_t_216,2017
United States,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,"Action,Adventure,Biography",English,TV-MA,8.5,Spartacus,"Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker",https://www.imdb.com//title/tt1442449/?ref_=chttvtp_t_209,2010–2013
United Kingdom,Docuseries following the FIA Formula One World Championship across multiple seasons.,40,"Documentary,Sport",English,TV-MA,8.5,Formula 1: Drive to Survive,"Will Buxton,Jack Nicholls,Daniel Ricciardo,Lewis Hamilton,Pierre Gasly,Max Verstappen,Sergio Pérez,Carlos Sainz,Charles Leclerc,Sebastian Vettel,Kevin Magnussen,Lance Stroll,Kimi Räikkönen,Valtteri Bottas,Lando Norris,George Russell,Esteban Ocon,Toto Wolff",https://www.imdb.com//title/tt8289930/?ref_=chttvtp_t_211,2019– 
United States,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,30,"Comedy,Game-Show",English,TV-PG,8.5,Whose Line Is It Anyway?,"Drew Carey,Colin Mochrie,Ryan Stiles,Laura Hall,Wayne Brady,Linda Taylor,Cece Worrall Rubin,Greg Proops,Brad Sherwood,Charles Esten,Kathryn Greenwood,Denny Siegel,Anne King,Jeff Bryan Davis,Anna Wanselius,Kathy Griffin,Karen Maruyama,Whoopi Goldberg",https://www.imdb.com//title/tt0163507/?ref_=chttvtp_t_207,1998–2007
United States,"The life of Louie C.K., a divorced comedian living in New York with two kids.",22,"Comedy,Drama",English,TV-MA,8.5,Louie,"Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,Deanna Mustard,Scott Reyns,Steve Fabricant,Susan Kelechi Watson,Nick Di Paolo,Todd Barry,Jim Norton,Robert Kelly,William Stephenson,Edward Gelbinovich,Gary Wilmes,Eszter Balint,Ellen Burstyn,Charles Grodin",https://www.imdb.com//title/tt1492966/?ref_=chttvtp_t_206,2010–2015
United Kingdom,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,30,"Drama,Romance",English,TV-14,8.6,Heartstopper,"Joe Locke,Kit Connor,William Gao,Yasmin Finney,Tobie Donovan,Cormac Hyde-Corrin,Rhea Norwood,Corinna Brown,Kizzy Edgell,Sebastian Croft,Ashwin Vishwanath,Evan Ovenell,Fisayo Akinade,Olivia Colman,Araloyin Oshunremi,Jenny Walser,Leila Khan,Nima Taleghani",https://www.imdb.com//title/tt10638036/?ref_=chttvtp_t_208,2022– 
United Kingdom,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",30,Comedy,English,TV-14,8.6,Detectorists,"Mackenzie Crook,Toby Jones,Rachael Stirling,Gerard Horan,Pearce Quigley,Divian Ladwa,Laura Checkley,Sophie Thompson,Orion Ben,Aimee-Ffion Edwards,Simon Farnaby,Paul Casar,Alexa Davies,Lucy Benjamin,Rebecca Callard,Jacob Hill,Daniel Donskoy,Isabella Hill",https://www.imdb.com//title/tt4082744/?ref_=chttvtp_t_205,2014–2022
Japan,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24,"Animation,Action,Comedy",Japanese,TV-14,8.6,Mob Psycho 100,"Takahiro Sakurai,Setsuo Ito,Chris Niosi,Akio Ôtsuka,Kyle McCarley,Michael Sorich,Miyu Irino,Max Mittelman,Yoshitsugu Matsuoka,Ryunosuke Watanuki,Patrick Seitz,Yoshimasa Hosoya,Erik Scott Kimerer,Daiki Hamano,Seiichiro Yamashita,Cherami Leigh,Toshihiko Seki,Kôhei Amasaki",https://www.imdb.com//title/tt5897304/?ref_=chttvtp_t_204,2016–2022
United States,"A samurai, sent through time, fights to return home and save the world.",23,"Animation,Action,Adventure",English,TV-MA,8.5,Samurai Jack,"Phil LaMarr,Mako,Kevin Michael Richardson,Jeff Bennett,Grey Griffin,Tara Strong,Tom Kenny,Daran Norris,Greg Baldwin,John DiMaggio,Jennifer Hale,Dee Bradley Baker,Sab Shimono,Richard McGonagle,Lauren Tom,Keone Young,Rob Paulsen,Clyde Kusatsu",https://www.imdb.com//title/tt0278238/?ref_=chttvtp_t_203,2001–2017
United Kingdom,"Ewan McGregor and Charley Boorman embark on a grueling quest to motorbike from London to New York. Going east through Europe, Asia and then to Alaska, they experience different cultures and have to overcome the elements and adversity.",315,"Documentary,Adventure",English,TV-PG,8.6,Long Way Round,"Ewan McGregor,Charley Boorman,David Alexanian,Russ Malkin,Claudio von Planta,Jimmy Simak,Eve Mavrakis,Olly Boorman,Doone Boorman,Kinvara Boorman,Jim McGregor,John Boorman,Christel Kruse Boorman,Carol McGregor,Daisy Boorman,Margrit von Planta,Natalie Portman,Paul Teutul Sr.",https://www.imdb.com//title/tt0403778/?ref_=chttvtp_t_202,2004–2010
Turkey,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",90,"Crime,Drama,Thriller",Turkish,TV-14,8.7,Ezel,"Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,Baris Falay,Tuncel Kurtiz,Bade Iscil,Sarp Akkaya,Bayazit Gülercan,Ipek Bilgin,Nurhan Özenen,Baris Serma,Ataberk Ural,Burçin Terzioglu,Riza Kocaoglu,Salih Kalyon,Kemal Uçar,Levent Can,Mert Akbas",https://www.imdb.com//title/tt1534360/?ref_=chttvtp_t_200,2009–2011
United Kingdom,"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",29,Comedy,English,TV-MA,8.6,I'm Alan Partridge,"Steve Coogan,Simon Greenall,Felicity Montagu,Phil Cornwell,Andrew Burt,Amelia Bullmore,Barbara Durkin,Sally Phillips,James Lance,Tim Dantay,David Schneider,Simon Ludders,Danny Cunningham,Terence Booth,Michael Wardle,Peter Baynham,Polly Kemp,Rob Brydon",https://www.imdb.com//title/tt0129690/?ref_=chttvtp_t_201,1997–2002
United Kingdom,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",25,Comedy,English,TV-14,8.5,The IT Crowd,"Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,Christopher Morris,Noel Fielding,Graham Linehan,Tom Binns,Lewis Macleod,Belinda Stewart-Wilson,Peter Serafinowicz,Gemma Chan,Cordelia Bugeja,Togo Igawa,John Willie Hopkins,Dolly Wells,Pete Deagle,Ben Moor",https://www.imdb.com//title/tt0487831/?ref_=chttvtp_t_197,2006–2013
United States,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",11,"Comedy,Talk-Show",English,TV-MA,8.6,The Eric Andre Show,"Eric André,Hannibal Buress,Robert Smith,Tom Ato,Early McCalister,Pfelton Sutton,Jerry Wheeler,John Bueno,Adora Dei,Felipe Esparza,JV Smith,Pat Regan,Dan Curry,Jermaine Fowler,Gary Anthony Williams,Tom Kane,Karen Elaine,Duane R. Shepard Sr.",https://www.imdb.com//title/tt2244495/?ref_=chttvtp_t_196,2012– 
United States,"Elliot, a brilliant but unstable cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global chaos when he and his shadowy allies try to take down the corrupt corporation his company is paid to protect.",49,"Crime,Drama,Thriller",English,TV-MA,8.5,Mr. Robot,"Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,Portia Doubleday,Michael Cristofer,Grace Gummer,BD Wong,Stephanie Corneliussen,Vaishnavi Sharma,Gloria Reuben,Sunita Mani,Azhar Khan,Joey Bada$$,Omar Metwally,Michael Drayer,Michel Gill,Jeremy Holm",https://www.imdb.com//title/tt4158110/?ref_=chttvtp_t_198,2015–2019
United States,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",30,"Comedy,Reality-TV",English,TV-14,8.6,Impractical Jokers,"James Murray,Brian Quinn,Sal Vulcano,Joe Gatto,Casey Jost,Cole Weber,Rob Emmer,John Szeluga,Daniel Cast,Drew Patterson,Joe Imburgio,Frank Contacessa,Joey Fatone,Bill St. James,Johnna Scrabis,Chavon Deberry,Jay Miller,Simmy Kustanowitz",https://www.imdb.com//title/tt2100976/?ref_=chttvtp_t_195,2011– 
Serbia,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.",60,"Crime,Drama,Thriller",Serbian,TV-MA,8.9,Black Sun,"Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic,Jovana Stojiljkovic,Nenad Jezdic,Gordan Kicic,Goran Bogdan,Aleksandar Gligoric,Nebojsa Dugalic,Aleksandar Stojkovic,Slobodan 'Boda' Ninkovic,Branimir Brstina,Marko Zivic,Milos Samolov,Srdjan 'Zika' Todorovic,Toni Mihajlovski,Petre Arsovski,Vojislav 'Voja' Brajovic",https://www.imdb.com//title/tt6108262/?ref_=chttvtp_t_193,2017– 
Japan,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",24,"Animation,Action,Adventure",Japanese,TV-MA,8.6,Samurai Champloo,"Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum,Kirk Thornton,Kari Wahlgren,Doug Stone,Erik Davies,Masakazu Kohara,Tsuguo Mogami,Shunsuke Sakuya,Yoshinori Sonobe,Masao Harada,Takehiro Murozono,Paul St. Peter,Steve Kramer,Kim Strauss,Doug Erholtz",https://www.imdb.com//title/tt0423731/?ref_=chttvtp_t_192,2004–2005
United Kingdom,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",89,"Crime,Drama,Mystery",English,TV-14,8.6,Endeavour,"Shaun Evans,Roger Allam,James Bradshaw,Sean Rigby,Anton Lesser,Caroline O'Neill,Abigail Thaw,Sara Vickers,Dakota Blue Richards,Jack Laskey,Jack Bannon,Simon Harrison,Shvorne Marks,Lewis Peek,Carol Royle,Richard Riddell,Mark Arden,Flora London",https://www.imdb.com//title/tt2701582/?ref_=chttvtp_t_194,2012–2023
United States,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",60,"Documentary,Crime",English,TV-14,8.5,Making a Murderer,"Steven Avery,Dolores Avery,Laura Nirider,Allan Avery,Dean Strang,Jerry Buting,Kathleen Zellner,Barb Tadych,Ken Kratz,Brendan Dassey,Steven Drizin,Kim Ducat,Len Kachinsky,Sandra Greenman,Stephen Glynn,Peter Dassey,Robert Dvorak,Chuck Avery",https://www.imdb.com//title/tt5189670/?ref_=chttvtp_t_188,2015–2018
India,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.",45,"Drama,History",Hindi,,8.9,Rocket Boys,"Jim Sarbh,Saba Azad,Regina Cassandra,Mark Bennington,Ishwak Singh,Dibyendu Bhattacharya,Vinita Venugopal,Namit Das,Arjun Radhakrishnan,K.C. Shankar,Charu Shankar,Emily R. Acland,Monisha Advani,Ashmita Meghrajani,Rajiv Kachroo,Darius Shroff,Rajit Kapoor,Neha Chauhan",https://www.imdb.com//title/tt13868972/?ref_=chttvtp_t_190,2022– 
United Kingdom,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,30,"Comedy,Romance",English,TV-14,8.6,Coupling,"Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,Ben Miles,Richard Coyle,Richard Mylan,Lou Gish,Olivia Caffrey,Mariella Frostrup,Lloyd Owen,Elizabeth Marmur,Emilia Fox,Adam Astill,Michael Price,Amanda Abbington,Anat Dychtwald,William Scott-Masson",https://www.imdb.com//title/tt0237123/?ref_=chttvtp_t_189,2000–2004
United States,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",28,"Comedy,Music,Musical",English,TV-MA,8.6,Flight of the Conchords,"Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,Arj Barker,Frank Wood,Eugene Mirman,David Costabile,Sutton Foster,Rachel Blanchard,Brian Sergent,Adrian Martinez,Lenny Venito,José Ramón Rosario,Kelly Taffe,Victor Williams,Will Forte,Aziz Ansari",https://www.imdb.com//title/tt0863046/?ref_=chttvtp_t_187,2007–2009
Japan,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",24,"Animation,Action,Adventure",Japanese,TV-14,8.5,Dragon Ball,"Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,Christopher Sabat,Tiffany Vollmer,Leda Davies,Mike McFarland,Monika Antonelli,Victor Atelevich,Chris Simms,Bradford Jackson,Mike Thiessen,Laurie Steele,Meredith McCoy,John Burgmeier,Rocío Garcel,Chuck Huber",https://www.imdb.com//title/tt0280249/?ref_=chttvtp_t_186,1995–2003
United Kingdom,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,30,Comedy,English,TV-PG,8.6,"Yes, Prime Minister","Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,Deborah Norton,John Nettleton,Peter Cellier,Miranda Forbes,Frederick Treves,Antony Carrick,Barry Stanton,Donald Pickering,Peter Cartwright,Clive Francis,Frank Middlemass,Michael Aldridge,John Barron,John Wells",https://www.imdb.com//title/tt0086831/?ref_=chttvtp_t_191,1986–1987
India,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",45,"Action,Comedy,Drama",Arabic,TV-MA,8.7,The Family Man,"Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi,Ashlesha Thakur,Vedant Sinha,Shahab Ali,Shreya Dhanwanthary,Sharad Kelkar,Dalip Tahil,Darshan Kumaar,Sunny Hinduja,Aritro Rudraneil Banerjee,Pawan Chopra,Neeraj Madhav,Mime Gopi,Srikrishna Dayal,Vijay Vikram Singh",https://www.imdb.com//title/tt9544034/?ref_=chttvtp_t_185,2019– 
Japan,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,24,"Animation,Action,Adventure",Japanese,TV-MA,8.6,Jujutsu Kaisen,"Junya Enoki,Yuma Uchida,Yûichi Nakamura,Adam McArthur,Asami Seto,Nobunaga Shimazaki,Robbie Daymond,Takahiro Sakurai,Kenjirô Tsuda,Lex Lang,Mikako Komatsu,Tomokazu Seki,Jun'ichi Suwabe,Mitsuo Iwata,Kaiji Tang,Shigeru Chiba,Takaya Kuroda,Kotono Mitsuishi",https://www.imdb.com//title/tt12343534/?ref_=chttvtp_t_182,2020– 
United States,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.",183,"Action,Adventure,Drama",English,TV-14,8.5,Battlestar Galactica,"Edward James Olmos,Mary McDonnell,Katee Sackhoff,Jamie Bamber,James Callis,Tricia Helfer,Callum Keith Rennie,Grace Park,Michael Hogan,Matthew Bennett,Paul Campbell,Aaron Douglas,Barclay Hope,Lorena Gale,Kandyse McClure,Connor Widdows,John Mann,Alessandro Juliani",https://www.imdb.com//title/tt0314979/?ref_=chttvtp_t_184,2003
United States,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",0,Drama,English,TV-MA,8.5,The Queen's Gambit,"Anya Taylor-Joy,Chloe Pirrie,Bill Camp,Marcin Dorocinski,Marielle Heller,Thomas Brodie-Sangster,Moses Ingram,Harry Melling,Isla Johnston,Janina Elkin,Matthew Dennis Lewis,Russell Dennis Lewis,Patrick Kennedy,Christiane Seidel,Jacob Fortune-Lloyd,Akemnji Ndifornyen,Annabeth Kelly,Dolores Carbonari",https://www.imdb.com//title/tt10048342/?ref_=chttvtp_t_183,2020
United States,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",22,"Animation,Action,Adventure",English,TV-14,8.6,The Venture Bros.,"Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,Patrick Warburton,Steven Rattazzi,Paul Boocock,Soul-Bot,Lisa Hammer,Dana Snyder,Mia Barron,Brendon Small,Charles Parnell,Mark Gagliardi,Hal Lublin,Cristin Milioti,Kate McKinnon,Nina Hellman",https://www.imdb.com//title/tt0417373/?ref_=chttvtp_t_181,2003–2018
Japan,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",25,"Animation,Action,Adventure",Japanese,TV-14,8.5,Dragon Ball,"Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,Hiromi Tsuru,Mayumi Tanaka,Christopher Sabat,Tôru Furuya,Naoko Watanabe,Kôhei Miyauchi,Mike McFarland,Tiffany Vollmer,Naoki Tatsuta,Mami Koyama,Bradford Jackson,Monika Antonelli,Kenji Utsumi,Laurie Steele",https://www.imdb.com//title/tt0088509/?ref_=chttvtp_t_180,1986–1989
United States,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,30,"Comedy,Fantasy,Horror",English,TV-MA,8.6,What We Do in the Shadows,"Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,Mark Proksch,Kristen Schaal,Anthony Atamanuik,Doug Jones,Chris Sandiford,Jean-Michel Richaud,Parisa Fakhri,Anoop Desai,Violet Tinnirello,Liam McKenna,Veronika Slowikowska,Gavin Fox,Myrna Cabello,Andy Hull",https://www.imdb.com//title/tt7908628/?ref_=chttvtp_t_178,2019–2024
United States,Seven of the most formidable heroes form arguably the most powerful team ever.,22,"Animation,Action,Adventure",English,TV-PG,8.6,Justice League,"Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera,Kevin Conroy,Susan Eisenberg,Jason Marsden,Mark Hamill,Clancy Brown,Corey Burton,Jennifer Hale,Phil Morris,Olivia d'Abo,Susan Sullivan,Richard Doyle,Brian George,Kevin Michael Richardson",https://www.imdb.com//title/tt0275137/?ref_=chttvtp_t_179,2001–2004
United States,An American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,60,"Crime,Drama,Mystery",English,TV-14,8.7,Homicide: Life on the Street,"Richard Belzer,Clark Johnson,Yaphet Kotto,Kyle Secor,Andre Braugher,Melissa Leo,Reed Diamond,Sharon Ziman,Peter Gerety,Jon Seda,Isabella Hofmann,Callie Thorne,Toni Lewis,Clayton LeBouef,Zeljko Ivanek,Max Perlich,Daniel Baldwin,Ned Beatty",https://www.imdb.com//title/tt0106028/?ref_=chttvtp_t_177,1993–1999
Mexico,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.",30,"Comedy,Family",Spanish,TV-PG,8.7,El Chavo del Ocho,"Ramón Valdés,Carlos Villagrán,Roberto Gómez Bolaños,María Antonieta de las Nieves,Florinda Meza,Edgar Vivar,Rubén Aguirre,Angelines Fernández,Horacio Gómez Bolaños,Ricardo de Pascual,Maribel Fernández,Olivia Leyva,Raúl 'Chato' Padilla,Ana Lilian De La Macorra,Patty Juarez,Rosita Bouchot,Beatriz Moreno,Enrique Segoviano",https://www.imdb.com//title/tt0229889/?ref_=chttvtp_t_174,1972–1983
United States,"Enforcing his own brand of justice, U.S. Marshal Raylan Givens, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",0,"Action,Crime,Drama",English,TV-MA,8.6,Justified,"Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,Erica Tazel,Walton Goggins,Natalie Zea,Jere Burns,David Meunier,Jonathan Kowalsky,Russell Bertolino,Rick Gomez,Raymond J. Barry,Jesse Luken,Damon Herriman,Jeremy Davies,Justin Welborn,Mykelti Williamson",https://www.imdb.com//title/tt1489428/?ref_=chttvtp_t_172,2010–2015
France,"A very unique and captivating series about the ""bureau des légendes"", the mythical powerhouse within the French Secret Service and its dare devil ghost agents.",52,"Drama,Thriller",French,TV-MA,8.7,The Bureau,"Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï,Sara Giraudeau,Jules Sagot,Zineb Triki,Jean-Pierre Darroussin,Irina Muluile,Gilles Cohen,Artus,Alexandre Brasseur,Patrick Ligardes,Léa Drucker,Mathieu Amalric,Aleksey Gorbunov,Michaël Abiteboul,Pauline Etienne,Anne Azoulay",https://www.imdb.com//title/tt4063800/?ref_=chttvtp_t_175,2015–2020
United States,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,55,"Crime,Drama",English,TV-MA,8.6,Boardwalk Empire,"Steve Buscemi,Kelly Macdonald,Michael Shannon,Shea Whigham,Stephen Graham,Vincent Piazza,Michael Kenneth Williams,Paul Sparks,Gretchen Mol,Michael Stuhlbarg,Anthony Laciura,Jack Huston,Anatol Yusef,Brady Noon,Connor Noon,Lucy Gallina,Josie Gallina,Declan McTigue",https://www.imdb.com//title/tt0979432/?ref_=chttvtp_t_171,2010–2014
United States,TV series featuring the classic Looney Tunes animated shorts.,30,"Animation,Comedy",English,TV-G,8.6,The Bugs Bunny Show,"Mel Blanc,June Foray,Daws Butler,Arthur Q. Bryan,Nicolai Shutorev",https://www.imdb.com//title/tt0053488/?ref_=chttvtp_t_173,1960–1975
United States,A ranching family in Montana faces off against others encroaching on their land.,60,"Drama,Western",English,TV-MA,8.7,Yellowstone,"Kevin Costner,Luke Grimes,Kelly Reilly,Wes Bentley,Cole Hauser,Kelsey Asbille,Brecken Merrill,Jefferson White,Gil Birmingham,Forrie J. Smith,Denim Richards,Ian Bohen,Mo Brings Plenty,Jake Ream,Ryan Bingham,Jen Landon,Wendy Moniz,Ethan Lee",https://www.imdb.com//title/tt4236770/?ref_=chttvtp_t_169,2018– 
United States,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",0,"Drama,Horror,Mystery",English,TV-MA,8.6,The Haunting of Hill House,"Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Reaser,Oliver Jackson-Cohen,Kate Siegel,Victoria Pedretti,Lulu Wilson,Mckenna Grace,Paxton Singleton,Julian Hilliard,Violet McGraw,Timothy Hutton,Natalia Rosminati,Anthony Ruivivar,Samantha Sloyan,Annabeth Gish,Robert Longstreet",https://www.imdb.com//title/tt6763664/?ref_=chttvtp_t_176,2018
United States,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",55,Drama,English,TV-MA,8.6,The Newsroom,"Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill,Thomas Sadoski,Dev Patel,Olivia Munn,Sam Waterston,Chris Chalk,Margaret Judson,Adina Porter,John F. Carpenter,Thomas Matthews,Trieu Tran,Charlie Weirauch,Wynn Everett,Riley Voelkel,Chris Messina",https://www.imdb.com//title/tt1870479/?ref_=chttvtp_t_168,2012–2014
