country,description,duration,genre,language,public,score,title,top_cast,url,year
United States,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.",0,"Drama,History,Thriller",English,TV-MA,9.3,Chernobyl,"Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Adrian Rawlins,Alan Williams,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik",https://www.imdb.com//title/tt7366338/?ref_=chttvtp_t_5,2019
United States,An exploration of our discovery of the laws of nature and coordinates in space and time.,557,Documentary,English,TV-PG,9.3,Cosmos: A Spacetime Odyssey,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Amanda Seyfried,Kirsten Dunst,Phil LaMarr,Paul Sorvino,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci",https://www.imdb.com//title/tt2395695/?ref_=chttvtp_t_10,2014
United States,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59,"Crime,Drama,Thriller",English,TV-MA,9.3,The Wire,"Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba",https://www.imdb.com//title/tt0306414/?ref_=chttvtp_t_6,2002–2008
Bulgaria,Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.,60,"Action,Crime,Drama",Bulgarian,,8.9,Undercover,"Ivaylo Zahariev,Zachary Baharov,Vladimir Penev,Marian Valev,Kiril Efremov,Plamen Manassiev,Yosif Shamli,Luben Kanev,Mihail Bilalov,Alexander Sano,Milena Nikolova,Ivo Yonchev,Snezhana Makaveeva,Lilia Marvilya,Ventsislav Yankov,Yoanna Temelkova,Koyna Ruseva,Irena Miliankova",https://www.imdb.com//title/tt1909015/?ref_=chttvtp_t_250,2011–2016
United Kingdom,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",594,"Drama,History,War",English,TV-MA,9.4,Band of Brothers,"Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing",https://www.imdb.com//title/tt0185906/?ref_=chttvtp_t_4,2001
United Kingdom,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",90,"Crime,Drama,Mystery",English,TV-14,8.6,Foyle's War,"Michael Kitchen,Honeysuckle Weeks,Anthony Howell,Ellie Haddington,Julian Ovenden,Jay Simpson,Tim McMullan,Daniel Weyman,Jeremy Swift,Rupert Vansittart,Geoffrey Freshwater,Mali Harries,Michael Simkins,Hermione Gulliford,Max Brown,Alex Clatworthy,Jay Benedict,Jonah Lotan",https://www.imdb.com//title/tt0310455/?ref_=chttvtp_t_248,2002–2015
United States,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",25,"Drama,Mystery",English,TV-14,8.5,Alfred Hitchcock Presents,"Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock,Arthur Gould-Porter,Raymond Bailey,Lillian O'Malley,Russell Collins,Robert Carson,Barry Harvey,Robert H. Harris,Ray Teal,Bartlett Robinson,David Fresco,Robert Horton,Percy Helton,Ralph Clanton,Charles Davis",https://www.imdb.com//title/tt0047708/?ref_=chttvtp_t_249,1955–1962
Japan,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",25,"Animation,Action,Comedy",English,TV-14,8.7,Gintama,"Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai,Susumu Chiba,Ken'ichi Suzumura,Satsuki Yukino,Akira Ishida,Tetsuharu Ôta,Fumihiko Tachiki,Kujira,Yû Kobayashi,Mikako Takahashi,Fumiko Orikasa,Kôichi Sakaguchi,Yû Sugimoto,Michael Daingerfield,Janyse Jaud",https://www.imdb.com//title/tt0988818/?ref_=chttvtp_t_247,2005–2021
South Korea,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.",80,"Action,Drama,Fantasy",Korean,TV-14,8.8,Alchemy of Souls,"Lee Jae-wook,Hwang Min-hyun,Yoo Joon-sang,Oh Na-ra,Yoo In-soo,Jo Jae-yoon,Lee Do-kyung,Victoria Grace,Hao Feng,Alexandra Bokyun Chun,Eugene Ko,Arin,Lee Bong-joon,Shin Seung-ho,Lee Ha-yul,Park Eun-hye,Im Chul-soo,Hong Seo-hui",https://www.imdb.com//title/tt20859920/?ref_=chttvtp_t_244,2022– 
Italy,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,20,"Animation,Comedy,Drama",Italian,TV-14,8.6,Tear Along the Dotted Line,"Zerocalcare,Valerio Mastandrea,Wayne Forester,Adam Rhys Dee,Ambrogio Colombo,Chiara Gioncardi,Michele Foschini,Paolo Vivio,Veronica Puccio,Alessandra Sani,Ezio Conenna",https://www.imdb.com//title/tt15614372/?ref_=chttvtp_t_243,2021
